index,is_git,is_jit,scale,params,flops,max_time/sec,avg_time/sec,max_gpu/MB,avg_gpu/MB,max_ram/MB,avg_ram/MB,max_cpu/%,avg_cpu/%
0,True,False,800600,90520000.0,101710000000.0,0.360028028488159,0.11801540851593001,1501.5390625,1470.5390625,6632.75390625,6631.020926339285,28.7,14.292857142857143
1,True,False,1024768,90520000.0,101710000000.0,0.230026721954345,0.11641001701354901,1501.5390625,1501.5390625,6629.0859375,6627.132291666667,22.5,12.860000000000001
2,True,False,12801040,90520000.0,101710000000.0,0.38500595092773404,0.142713904380798,1501.5390625,1501.5390625,6705.4453125,6640.026100852273,27.0,14.190909090909093
3,True,False,19201200,90520000.0,101710000000.0,0.40502548217773404,0.15821044445037802,1501.5390625,1501.5390625,6709.75390625,6648.539434523809,22.5,14.261904761904763
4,True,False,25601600,90520000.0,101710000000.0,0.438992261886596,0.18939533233642503,1501.5390625,1501.5390625,6678.47265625,6656.056803385417,19.6,12.308333333333332
5,True,False,38402400,90520000.0,101710000000.0,0.580978870391845,0.350492620468139,1501.5390625,1501.5390625,6774.29296875,6685.576712101064,22.0,12.668085106382978
6,True,False,40963072,90520000.0,101710000000.0,0.568999052047729,0.424900817871093,1501.5390625,1501.5390625,6870.52734375,6697.411342075893,26.0,12.505357142857141
7,True,False,64004800,90520000.0,101710000000.0,0.965000629425048,0.7956065177917481,1506.8515625,1501.591661509901,7189.1640625,6799.3744198638615,64.0,16.841584158415838
8,True,True,800600,90721443.0,-1.0,18.878021717071533,2.363727855682373,1395.5390625,1376.0547857704403,6777.953125,6645.238956859277,41.5,13.633647798742139
9,True,True,1024768,90721443.0,-1.0,0.311999082565307,0.138605737686157,1395.5390625,1395.5390625,6793.3046875,6740.656960227273,22.0,14.1
10,True,True,12801040,90721443.0,-1.0,0.34700036048889105,0.157808589935302,1395.5390625,1395.5390625,6817.19921875,6753.075358072917,26.0,15.220833333333333
11,True,True,19201200,90721443.0,-1.0,0.43202805519104004,0.177900838851928,1395.5390625,1395.5390625,6781.703125,6752.917643229167,23.3,12.862500000000002
12,True,True,25601600,90721443.0,-1.0,0.47497677803039506,0.211401844024658,1395.5390625,1395.5390625,6797.47265625,6756.339973958334,21.6,12.913333333333334
13,True,True,38402400,90721443.0,-1.0,0.501001834869384,0.34719479084014804,1395.5390625,1395.5390625,6885.4140625,6775.358626994681,20.0,12.91276595744681
14,True,True,40963072,90721443.0,-1.0,0.556995630264282,0.45379531383514404,1395.5390625,1395.5390625,6950.14453125,6814.742251536885,24.0,13.004918032786884
15,True,True,64004800,90721443.0,-1.0,0.931024074554443,0.8321913719177241,1395.5390625,1395.5390625,7248.68359375,6898.116112385321,24.0,13.462385321100918
16,False,False,800600,90520000.0,101710000000.0,2.333000898361206,2.203900933265686,723.5390625,723.5390625,7143.04296875,6875.737627986348,82.0,58.33617747440273
17,False,False,1024768,90520000.0,101710000000.0,2.341998815536499,2.25459885597229,723.5390625,723.5390625,7190.0,6868.502278645833,90.0,58.062666666666665
18,False,False,12801040,90520000.0,101710000000.0,2.378997802734375,2.257391691207885,723.5390625,723.5390625,7142.390625,6868.74609375,82.0,58.134105960264904
19,False,False,19201200,90520000.0,101710000000.0,2.37099552154541,2.246283888816833,723.5390625,723.5390625,7215.36328125,6874.343931686047,86.0,57.424584717607985
20,False,False,25601600,90520000.0,101710000000.0,2.354972839355468,2.263180685043335,723.5390625,723.5390625,7159.40234375,6882.179907388245,90.0,57.799668874172184
21,False,False,38402400,90520000.0,101710000000.0,2.403965950012207,2.322276520729064,723.5390625,723.5390625,7036.50390625,6710.9028477822585,92.0,56.441290322580656
22,False,False,40963072,90520000.0,101710000000.0,2.429999351501465,2.350281071662903,723.5390625,723.5390625,6982.1953125,6712.1614332932695,92.0,55.550641025641035
23,False,False,64004800,90520000.0,101710000000.0,2.75,2.682094621658325,729.73828125,723.5684032654494,7234.1953125,6871.2480359023875,90.2,56.16011235955056
24,False,True,800600,90721443.0,-1.0,3.055998086929321,2.354896068572998,723.5390625,723.5390625,7587.28125,7354.545560515873,96.0,56.55968253968254
25,False,True,1024768,90721443.0,-1.0,2.330023050308227,2.2211094856262212,723.5390625,723.5390625,7440.61328125,7303.531342066498,97.5,59.13670033670033
26,False,True,12801040,90721443.0,-1.0,2.333966016769409,2.252990341186523,723.5390625,723.5390625,7475.40234375,7292.236080729167,90.0,58.453
27,False,True,19201200,90721443.0,-1.0,2.342999219894409,2.249878692626953,723.5390625,723.5390625,7412.44140625,7275.122269544315,92.0,58.16120401337792
28,False,True,25601600,90721443.0,-1.0,2.36496353149414,2.277775835990906,723.5390625,723.5390625,7425.59765625,7286.938969678218,100.0,57.861716171617154
29,False,True,38402400,90721443.0,-1.0,2.383973836898803,2.322076725959777,723.5390625,723.5390625,7441.3125,7308.53611391129,92.3,56.192258064516125
30,False,True,40963072,90721443.0,-1.0,2.414003133773803,2.361580896377563,723.5390625,723.5390625,7472.8671875,7335.582292496019,82.0,56.2812101910828
31,False,True,64004800,90721443.0,-1.0,2.793000221252441,2.736603569984436,723.5390625,723.5390625,7764.8828125,7415.163244662534,96.0,55.57272727272728
